1|Bulbasaur|Grass, Poison|31|18
2|Ivysaur|Grass, Poison|40|50
3|Venusaur|Grass, Poison|52|50
4|Charmander|Fire, None|30|90
5|Charmeleon|Fire, None|40|50
6|Charizard|Fire, Flying|53|40
7|Squirtle|Water, None|31|44
8|Wartortle|Water, None|40|35
9|Blastoise|Water, None|53|20
10|Caterpie|Bug, None|19|65
11|Metapod|Bug, None|20|75
12|Butterfree|Bug, Flying|38|45
13|Weedle|Bug, Poison|19|55
14|Kakuna|Bug, Poison|20|75
15|Beedrill|Bug, Poison|38|10
16|Pidgey|Normal, Flying|25|71
17|Pidgeotto|Normal, Flying|34|79
18|Pidgeot|Normal, Flying|46|39
19|Rattata|Normal, None|25|63
20|Raticate|Norma, |None|41|63
21|Spearow|Normal, Flying|26|42
22|Fearow|Normal, Flying|44|72
23|Ekans|Poison|, one|28|83
24|Arbok|Poison, None|43|48
25|Pikachu|Electric, None|30|30
129|Magikarp|Water, None|20|50
